name,N,seconds,N,seconds,N,seconds,tipo,tipoProblema
-114, 100000, 0.17015504837036133, 300000, 0.447406530380249, 500000, 0.7136485576629639, 0, 0
-cajasBolas,10000000,0.000479619,500000000, 0.00106321, 990000000, 0.00121135, 1, 1
-167fractales, 100000000, 0.000558067, 500000000, 0.000962378, 990000000, 0.00119763, 1, 1
--OJ10019, 2,0.00205988,300,0.00972289,999,0.0230634, 1, 1
--323, 90000, 0.000479819, 490000, 0.000510633, 980000, 0.00127082, 1, 1
niniosPrimero,10,0.00183829,100000,0.033445,200000,0.0659738,2,2
palmerasNieve,10000,0.00483884,50000,0.0105405,100000,0.0162693,2,2
-palmerasNieve2,10000,0.00783884,50000,0.0135405,100000,0.0192693,2,2
--erasmus,1000,0.00631468,50000,0.0138162,99000,0.0302892,2,2
mergeSort,21474,0.0180189,107374,0.047188,212600,0.0952201,3,3
nosInvaden,10000,0.0177996,50000,0.0752747,100000,0.187217,3,3
--cazaTesoros,10,0.0044788,50,0.0183888,100,0.0298302,4,4
insercion,2147,0.00575876,10735,0.0785231,21255,0.313791,4,4
tiroPalindromo,100,0.022623,500,0.034553,990,0.0660845,4,4
---probTestUsefulErr,100,0.022623,500,0.034553,990,0.0660845,4,3
---probTestUsefulErr,100,0.022623,500,0.034553,990,0.0660845,5,3
