name,tamano,tiempo,tamano,tiempo,tamano,tiempo,tipo,tipoProblema
140DanielVallejo, 3, 5187, 6, 2377, 9, 3464, 2, 2
140david-perez, 3, 5573, 6, 9798, 9, 16111, 2, 2
140eduherminio, 3, 2603, 6, 2650, 9, 2680, 2, 2
140hkno, 3, 20, 6, 20, 9, 19, 2, 2
140DanielVallejo2, 3, 14404, 6, 23338, 9, 40650, 2, 2
140david-perez2, 3, 61485, 6, 111818, 9, 158758, 2, 2
140eduherminio2, 3, 30266, 6, 28326, 9, 27493, 2, 2
140hkno2, 3, 18, 6, 18, 9, 17, 2, 2
140DanielVallejo3, 3, 5469, 6, 2696, 9, 3996, 2, 2
140david-perez3, 3, 6432, 6, 11148, 9, 15782, 2, 2
140eduherminio3, 3, 3299, 6, 3307, 9, 3223, 2, 2
140hkno3, 3, 236, 6, 21, 9, 19, 2, 2
140DanielVallejo4, 3, 16140, 6, 27181, 9, 40313, 2, 2
140david-perez4, 3, 62591, 6, 95425, 9, 161003, 2, 2
140eduherminio4, 3, 25334, 6, 27178, 9, 27828, 2, 2
140hkno4, 3, 18, 6, 20, 9, 18, 2, 2
140DanielVallejo5, 3, 0.5469, 6, 0.2696, 9, 0.3996, 2, 2
140david-perez5, 3, 0.6432, 6, 1.1148, 9, 1.5782, 2, 2
140eduherminio5, 3, 0.3299, 6, 0.3307, 9, 0.3223, 2, 2
140hkno5, 3, 0.0236, 6, 0.0021, 9, 0.0019, 2, 2
368abeaumont, 3000, 149, 6000, 134, 9000, 134, 0, 0
368DanielVallejo, 3000, 457, 6000, 490, 9000, 463, 0, 0
368david-perez, 3000, 1172, 6000, 1201, 9000, 1161, 0, 0
368eduherminio, 3000, 1169, 6000, 1164, 9000, 1192, 0, 0
368hkno, 3000, 17, 6000, 16, 9000, 19, 0, 0
368abeaumont2, 3000, 171, 6000, 147, 9000, 154, 0, 0
368DanielVallejo2, 3000, 1015, 6000, 586, 9000, 595, 0, 0
368david-perez2, 3000, 1709, 6000, 1529, 9000, 1176, 0, 0
368eduherminio2, 3000, 1300, 6000, 1274, 9000, 1539, 0, 0
368hkno2, 3000, 21, 6000, 20, 9000, 22, 0, 0
368abeaumont3, 3000, 882, 6000, 1033, 9000, 1072, 0, 0
368DanielVallejo3, 3000, 4333, 6000, 4169, 9000, 4292, 0, 0
368david-perez3, 3000, 11197, 6000, 11186, 9000, 11162, 0, 0
368eduherminio3, 3000, 11103, 6000, 11002, 9000, 11079, 0, 0
368hkno3, 3000, 18, 6000, 16, 9000, 17, 0, 0
368abeaumont4, 3000, 0.171, 6000, 0.147, 9000, 0.154, 0, 0
368DanielVallejo4, 3000, 0.1015, 6000, 0.586, 9000, 0.595, 0, 0
368david-perez4, 3000, 0.1709, 6000, 0.1529, 9000, 0.1176, 0, 0
368eduherminio4, 3000, 0.1300, 6000, 0.1274, 9000, 0.1539, 0, 0
368hkno4, 3000, 0.021, 6000, 0.020, 9000, 0.022, 0, 0
369abeaumont, 300, 1758, 600, 1806, 900, 2674, 2, 2
369DanielVallejo, 300, 107297, 600, 245970, 900, 323887, 2, 2
369david-perez, 300, 124839, 600, 238527, 900, 303019, 2, 2
369abeaumont2, 300, 48, 600, 49, 900, 54, 2, 2
369DanielVallejo2, 300, 172, 600, 345, 900, 450, 2, 2
369david-perez2, 300, 2173, 600, 354, 900, 580, 2, 2
371abeaumont, 6000, 205, 12000, 145, 18000, 144, 0, 0
371DanielVallejo, 6000, 548, 12000, 521, 18000, 516, 0, 0
371david-perez, 6000, 1389, 12000, 1336, 18000, 1323, 0, 0
371abeaumont2, 6000, 1622, 12000, 67, 18000, 57, 0, 0
371DanielVallejo2, 6000, 1525, 12000, 74, 18000, 54, 0, 0
371david-perez2, 6000, 1407, 12000, 81, 18000, 66, 0, 0
371abeaumont3, 6000, 1016, 12000, 1181, 18000, 1122, 0, 0
371DanielVallejo3, 6000, 4491, 12000, 4489, 18000, 4501, 0, 0
371david-perez3, 6000, 11901, 12000, 11811, 18000, 11769, 0, 0
372abeaumont, 12, 638, 24, 657, 36, 641, 2, 2
372DanielVallejo, 12, 996, 24, 1437, 36, 1891, 2, 2
372david-perez, 12, 1017, 24, 1426, 36, 1880, 2, 2
372abeaumont2, 12, 5767, 24, 1157, 36, 1197, 2, 2
372DanielVallejo2, 12, 4729, 24, 8843, 36, 12377, 2, 2
372david-perez2, 12, 4898, 24, 9081, 36, 12773, 2, 2
376abeaumont, 300, 6169, 600, 4453, 900, 6024, 2, 2
376DanielVallejo, 300, 893, 600, 1166, 900, 1530, 2, 2
376david-perez, 300, 3020, 600, 4519, 900, 6142, 2, 2
376eduherminio, 300, 2984, 600, 4543, 900, 6128, 2, 2
376abeaumont2, 300, 6361, 600, 4480, 900, 5999, 2, 2
376DanielVallejo2, 300, 927, 600, 1241, 900, 1574, 2, 2
376david-perez2, 300, 3079, 600, 4669, 900, 6146, 2, 2
376eduherminio2, 300, 3023, 600, 4598, 900, 6196, 2, 2
